#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 100  45
# Band-Index    1
   0.25906    -12.966993    -12.973269
   0.24179    -12.970790    -12.977024
   0.22452    -12.974267    -12.980428
   0.20725    -12.977432    -12.983485
   0.18997    -12.980292    -12.986192
   0.17270    -12.982858    -12.988543
   0.15543    -12.985138    -12.990522
   0.13816    -12.987142    -12.992102
   0.12089    -12.988882    -12.993253
   0.10362    -12.990367    -12.993979
   0.08635    -12.991605    -12.994346
   0.06908    -12.992606    -12.994473
   0.05181    -12.993376    -12.994472
   0.03454    -12.993921    -12.994422
   0.01727    -12.994247    -12.994375
   0.00000    -12.994358    -12.994358
 
# Band-Index    5
   0.00000    -12.254762    -12.254762
   0.01727    -12.254493    -12.254196
   0.03454    -12.253703    -12.252585
   0.05181    -12.252419    -12.250177
   0.06908    -12.250669    -12.247322
   0.08635    -12.248477    -12.244261
   0.10362    -12.245868    -12.241037
   0.12089    -12.242872    -12.237610
   0.13816    -12.239531    -12.233953
   0.15543    -12.235892    -12.230072
   0.17270    -12.232049    -12.226023
   0.18997    -12.228225    -12.221984
   0.20725    -12.224533    -12.218164
   0.22452    -12.220844    -12.214435
   0.24179    -12.217134    -12.210714
   0.25906    -12.213425    -12.207015
   0.27633    -12.209754    -12.203372
   0.29360    -12.206161    -12.199828
   0.31087    -12.202687    -12.196426
   0.32814    -12.199370    -12.193208
   0.34541    -12.196248    -12.190213
   0.36268    -12.193354    -12.187478
   0.37995    -12.190725    -12.185040
   0.39722    -12.188388    -12.182929
   0.41449    -12.186371    -12.181174
   0.43176    -12.184693    -12.179795
   0.44903    -12.183377    -12.178815
   0.46630    -12.182435    -12.178247
   0.48357    -12.181872    -12.178094
   0.50084    -12.181690    -12.178359
   0.51811    -12.181886    -12.179035
   0.53538    -12.182450    -12.180112
   0.55265    -12.183369    -12.181573
   0.56992    -12.184621    -12.183393
   0.58720    -12.186179    -12.185539
   0.60447    -12.188012    -12.187977
   0.62174    -12.190081    -12.190660
   0.63901    -12.192345    -12.193538
   0.65628    -12.194757    -12.196555
   0.67355    -12.197267    -12.199647
   0.69082    -12.199829    -12.202752
   0.70809    -12.202398    -12.205802
   0.72536    -12.204935    -12.208721
   0.74263    -12.207424    -12.211435
   0.75990    -12.209896    -12.213875
   0.77717    -12.212441    -12.215977
   0.79444    -12.215102    -12.217678
   0.81171    -12.217583    -12.218932
   0.82898    -12.219333    -12.219700
   0.84625    -12.219957    -12.219957
   0.84625    -12.219957    -12.219957
   0.86352    -12.219700    -12.219333
   0.88079    -12.218932    -12.217583
   0.89806    -12.217678    -12.215102
   0.91533    -12.215977    -12.212441
   0.93260    -12.213875    -12.209896
   0.94987    -12.211435    -12.207424
   0.96714    -12.208721    -12.204935
   0.98442    -12.205802    -12.202398
   1.00169    -12.202752    -12.199829
   1.01896    -12.199647    -12.197267
   1.03623    -12.196555    -12.194757
   1.05350    -12.193538    -12.192345
   1.07077    -12.190660    -12.190081
   1.08804    -12.187977    -12.188012
   1.10531    -12.185539    -12.186179
   1.12258    -12.183393    -12.184621
   1.13985    -12.181573    -12.183369
   1.15712    -12.180112    -12.182450
   1.17439    -12.179035    -12.181886
   1.19166    -12.178359    -12.181690
   1.20893    -12.178094    -12.181872
   1.22620    -12.178247    -12.182435
   1.24347    -12.178815    -12.183377
   1.26074    -12.179795    -12.184693
   1.27801    -12.181174    -12.186371
   1.29528    -12.182929    -12.188388
   1.31255    -12.185040    -12.190725
   1.32982    -12.187478    -12.193354
   1.34709    -12.190213    -12.196248
   1.36436    -12.193208    -12.199370
   1.38164    -12.196426    -12.202687
   1.39891    -12.199828    -12.206161
   1.41618    -12.203372    -12.209754
   1.43345    -12.207015    -12.213425
   1.45072    -12.210714    -12.217134
   1.46799    -12.214435    -12.220844
   1.48526    -12.218164    -12.224533
   1.50253    -12.221984    -12.228225
   1.51980    -12.226023    -12.232049
   1.53707    -12.230072    -12.235892
   1.55434    -12.233953    -12.239531
   1.57161    -12.237610    -12.242872
   1.58888    -12.241037    -12.245868
   1.60615    -12.244261    -12.248477
   1.62342    -12.247322    -12.250669
   1.64069    -12.250177    -12.252419
   1.65796    -12.252585    -12.253703
   1.67523    -12.254196    -12.254493
   1.69250    -12.254762    -12.254762
 
# Band-Index    6
   1.69250    -12.254762    -12.254762
   1.67523    -12.253520    -12.254157
   1.65796    -12.250078    -12.252578
   1.64069    -12.245484    -12.250489
   1.62342    -12.241617    -12.248209
   1.60615    -12.238995    -12.245821
   1.58888    -12.236574    -12.243294
   1.57161    -12.233977    -12.240586
   1.55434    -12.231137    -12.237672
   1.53707    -12.228045    -12.234540
   1.51980    -12.224691    -12.231154
   1.50253    -12.220961    -12.227359
   1.48526    -12.216731    -12.223127
   1.46799    -12.212218    -12.218672
   1.45072    -12.207599    -12.214111
   1.43345    -12.202959    -12.209509
   1.41618    -12.198360    -12.204925
   1.39891    -12.193859    -12.200412
   1.38164    -12.189511    -12.196021
   1.36436    -12.185367    -12.191803
   1.34709    -12.181476    -12.187802
   1.32982    -12.177882    -12.184062
   1.31255    -12.174630    -12.180625
   1.29528    -12.171756    -12.177527
   1.27801    -12.169294    -12.174800
   1.26074    -12.167272    -12.172470
   1.24347    -12.165714    -12.170563
   1.22620    -12.164639    -12.169096
   1.20893    -12.164051    -12.168075
   1.19166    -12.163956    -12.167505
   1.17439    -12.164346    -12.167381
   1.15712    -12.165212    -12.167695
   1.13985    -12.166533    -12.168431
   1.12258    -12.168284    -12.169563
   1.10531    -12.170428    -12.171059
   1.08804    -12.172926    -12.172884
   1.07077    -12.175724    -12.174991
   1.05350    -12.178770    -12.177328
   1.03623    -12.181999    -12.179838
   1.01896    -12.185344    -12.182457
   1.00169    -12.188739    -12.185121
   0.98442    -12.192117    -12.187764
   0.96714    -12.195406    -12.190313
   0.94987    -12.198545    -12.192700
   0.93260    -12.201482    -12.195943
   0.91533    -12.204168    -12.201772
   0.89806    -12.206530    -12.205910
   0.88079    -12.208436    -12.208427
   0.86352    -12.209697    -12.209735
   0.84625    -12.210139    -12.210139
   0.84625    -12.210139    -12.210139
   0.82898    -12.209735    -12.209697
   0.81171    -12.208427    -12.208436
   0.79444    -12.205910    -12.206530
   0.77717    -12.201772    -12.204168
   0.75990    -12.195943    -12.201482
   0.74263    -12.192700    -12.198545
   0.72536    -12.190313    -12.195406
   0.70809    -12.187764    -12.192117
   0.69082    -12.185121    -12.188739
   0.67355    -12.182457    -12.185344
   0.65628    -12.179838    -12.181999
   0.63901    -12.177328    -12.178770
   0.62174    -12.174991    -12.175724
   0.60447    -12.172884    -12.172926
   0.58720    -12.171059    -12.170428
   0.56992    -12.169563    -12.168284
   0.55265    -12.168431    -12.166533
   0.53538    -12.167695    -12.165212
   0.51811    -12.167381    -12.164346
   0.50084    -12.167505    -12.163956
   0.48357    -12.168075    -12.164051
   0.46630    -12.169096    -12.164639
   0.44903    -12.170563    -12.165714
   0.43176    -12.172470    -12.167272
   0.41449    -12.174800    -12.169294
   0.39722    -12.177527    -12.171756
   0.37995    -12.180625    -12.174630
   0.36268    -12.184062    -12.177882
   0.34541    -12.187802    -12.181476
   0.32814    -12.191803    -12.185367
   0.31087    -12.196021    -12.189511
   0.29360    -12.200412    -12.193859
   0.27633    -12.204925    -12.198360
   0.25906    -12.209509    -12.202959
   0.24179    -12.214111    -12.207599
   0.22452    -12.218672    -12.212218
   0.20725    -12.223127    -12.216731
   0.18997    -12.227359    -12.220961
   0.17270    -12.231154    -12.224691
   0.15543    -12.234540    -12.228045
   0.13816    -12.237672    -12.231137
   0.12089    -12.240586    -12.233977
   0.10362    -12.243294    -12.236574
   0.08635    -12.245821    -12.238995
   0.06908    -12.248209    -12.241617
   0.05181    -12.250489    -12.245484
   0.03454    -12.252578    -12.250078
   0.01727    -12.254157    -12.253520
   0.00000    -12.254762    -12.254762
 
# Band-Index    7
   0.00000    -12.242804    -12.242804
   0.01727    -12.242257    -12.242549
   0.03454    -12.240543    -12.241744
   0.05181    -12.237476    -12.240133
   0.06908    -12.232901    -12.236719
   0.08635    -12.226795    -12.230874
   0.10362    -12.219237    -12.223278
   0.12089    -12.210346    -12.214252
   0.13816    -12.200252    -12.203963
   0.15543    -12.189086    -12.192557
   0.17270    -12.176994    -12.180189
   0.18997    -12.164140    -12.167030
   0.20725    -12.150716    -12.153285
   0.22452    -12.136948    -12.139201
   0.24179    -12.123106    -12.125076
   0.25906    -12.109502    -12.111257
   0.27633    -12.096477    -12.098123
   0.29360    -12.084373    -12.086034
   0.31087    -12.073497    -12.075279
   0.32814    -12.064076    -12.066043
   0.34541    -12.056249    -12.058409
   0.36268    -12.050075    -12.052389
   0.37995    -12.045558    -12.047957
   0.39722    -12.042663    -12.045063
   0.41449    -12.041336    -12.043647
   0.43176    -12.041513    -12.043645
   0.44903    -12.043120    -12.044987
   0.46630    -12.046079    -12.047599
   0.48357    -12.050300    -12.051397
   0.50084    -12.055693    -12.056296
   0.51811    -12.062162    -12.062205
   0.53538    -12.069607    -12.069028
   0.55265    -12.077919    -12.076662
   0.56992    -12.086986    -12.085000
   0.58720    -12.096686    -12.093924
   0.60447    -12.106896    -12.103317
   0.62174    -12.117476    -12.113046
   0.63901    -12.128284    -12.122975
   0.65628    -12.139165    -12.132957
   0.67355    -12.149956    -12.142839
   0.69082    -12.160483    -12.152462
   0.70809    -12.170560    -12.161657
   0.72536    -12.179977    -12.170242
   0.74263    -12.188495    -12.178030
   0.75990    -12.194759    -12.184832
   0.77717    -12.196659    -12.190476
   0.79444    -12.198161    -12.194827
   0.81171    -12.199266    -12.197849
   0.82898    -12.199943    -12.199601
   0.84625    -12.200170    -12.200170
   0.84625    -12.200170    -12.200170
   0.86352    -12.199601    -12.199943
   0.88079    -12.197849    -12.199266
   0.89806    -12.194827    -12.198161
   0.91533    -12.190476    -12.196659
   0.93260    -12.184832    -12.194759
   0.94987    -12.178030    -12.188495
   0.96714    -12.170242    -12.179977
   0.98442    -12.161657    -12.170560
   1.00169    -12.152462    -12.160483
   1.01896    -12.142839    -12.149956
   1.03623    -12.132957    -12.139165
   1.05350    -12.122975    -12.128284
   1.07077    -12.113046    -12.117476
